ProductCode,Product,Category,Subcategory,UnitCost,ListPrice
WP0001,Batman Action Figure,Action Figures,Tough Guys,6.85,14.95
WP0002,Captain America Action Figure,Action Figures,Tough Guys,7.05,12.95
WP0003,GI Joe Action Figure,Action Figures,Tough Guys,6.1,14.95
WP0004,Green Hulk Action Figure,Action Figures,Tough Guys,2.85,9.95
WP0005,Red Hulk Alter Ego Action Figure,Action Figures,Tough Guys,2.85,9.95
WP0006,Godzilla Action Figure,Action Figures,Tough Guys,14.25,19.95
WP0007,Perry the Platypus Action Figure,Action Figures,Cute and Huggable,12,21.95
WP0008,Green Angry Bird Action Figure,Action Figures,Cute and Huggable,2.1,4.95
WP0009,Red Angry Bird Action Figure,Action Figures,Cute and Huggable,2.1,14.95
WP0010,Phineas and Ferb Action Figure Set,Action Figures,Cute and Huggable,12.25,19.95
WP0011,Black Power Ranger Action Figure,Action Figures,Cute and Huggable,6.15,7.5
WP0012,Woody Action Figure,Action Figures,Cute and Huggable,7.1,9.95
WP0013,Spiderman Action Figure,Action Figures,Tough Guys,10.4,12.95
WP0014,Twitter Follower Action Figure,Action Figures,Cute and Huggable,0.08,1
WP0015,Crayloa Crayon Set,Arts and Crafts,Drawing,1.2,2.49
WP0016,Sponge Bob Coloring Book,Arts and Crafts,Drawing,0.85,2.95
WP0017,Easel with Supply Trays,Arts and Crafts,Painting,12.1,49.95
WP0018,Crate o' Crayons,Arts and Crafts,Drawing,10.5,14.95
WP0019,Etch A Sketch,Arts and Crafts,Drawing,7.25,12.95
WP0020,Green Hornet,Remote Control Vehicles,Cars,18.25,24.95
WP0021,Red Wacky Stud Bumper,Remote Control Vehicles,Trucks,12.6,24.95
WP0022,Red Stomper Bully,Remote Control Vehicles,Trucks,21.5,29.95
WP0023,Green Stomper Bully,Remote Control Vehicles,Trucks,14.5,24.95
WP0024,Indy Race Car,Remote Control Vehicles,Cars,12,19.95
WP0025,Turbo-boost Speedboat,Remote Control Vehicles,Boats,12.5,32.95
WP0026,Sandpiper Prop Plane,Remote Control Vehicles,Planes,16.5,24.95
WP0027,Flying Badger,Remote Control Vehicles,Planes,20.5,27.95
WP0028,Red Barron von Richthofen,Remote Control Vehicles,Planes,22.5,32.95
WP0029,Flying Squirrel,Remote Control Vehicles,Planes,24,69.95
WP0030,FOX News Chopper,Remote Control Vehicles,Planes,12,29.95
WP0031,Seal Team 6 Helicopter,Remote Control Vehicles,Helicopter,35.4,59.95
WP0032,Personal Commuter Chopper,Remote Control Vehicles,Helicopter,65.75,99.95
